头痛		Somatization
神经过敏，心中不踏实	Anxiety
头脑中有不必要的想法或字句盘旋	Obsessive
头晕或晕倒	Somatization
对异性的兴趣减退	Depression
对旁人责备求全	Interpersonal
感到别人能控制您的思想	Psychotic
责怪别人制造麻烦	Paranoid
忘性大	Obsessive
担心自己的衣饰整齐及仪态的端正	Obsessive
容易烦恼和激动	Hostility
胸痛		Somatization
害怕空旷的场所或街道	Phobic
感到自己的精力下降，活动减慢	Depression
想结束自己的生命	Depression
听到旁人听不到的声音	Psychotic
发抖	Anxiety
感到大多数人都不可信任	Paranoid
胃口不好	Additional
容易哭泣	Depression
同异性相处时感到害羞不自在	Interpersonal
感到受骗、中了圈套或有人想抓住您	Depression
无缘无故地突然感到害怕	Anxiety
自己不能控制地发脾气 	Hostility
怕单独出门	Phobic
经常责怪自己	Depression
腰痛		Somatization
感到难以完成任务	Obsessive
感到孤独	Depression
感到苦闷	Depression
过分担忧	Depression
对事物不感兴趣	Depression
感到害怕	Anxiety
感情容易受到伤害	Interpersonal
旁人能知道您的私下想法	Psychotic
感到别人不理解您、不同情您	Interpersonal
感到人们对您不友好，不喜欢您	Interpersonal
做事必须做得很慢以保证做得正确	Obsessive
心跳得很厉害	Anxiety
恶心或胃部不舒服	Somatization
感到比不上他人	Interpersonal
肌肉酸痛	Somatization
感到有人在监视您、谈论您	Paranoid
难以入睡	Additional
做事必须反复检查	Obsessive
难以作出决定	Obsessive
怕乘电车、公共汽车、地铁或火车	Phobic
呼吸有困难	Somatization
一阵阵发冷或发热	Somatization
因为感到害怕而避开某些东西、场合或活动	Phobic
脑子变空了	Obsessive
身体发麻或刺痛	Somatization
喉咙有梗塞感	Somatization
感到没有前途没有希望	Depression
不能集中注意力	Obsessive
感到身体的某一部分软弱无力	Somatization
感到紧张或容易紧张	Anxiety
感到手或脚发重	Somatization
想到死亡	Additional
吃得太多	Additional
当别人看着您或谈论您时感到不自在	Interpersonal
有一些不属于您自己的想法	Psychotic
有想打人或伤害他人的冲动	Hostility
醒得太早	Additional
必须反复洗手、点数目或触摸某些东西	Obsessive
睡得不稳不深	Additional
有想摔坏或破坏东西的冲动	Hostility
有一些别人没有的想法或念头	Paranoid
感到对别人神经过敏	Interpersonal
在商店或电影等人多的地方感到不自在	Phobic
感到任何事情都很困难	Depression
一阵阵恐惧或惊恐	Anxiety
感到在公共场合吃东西很不舒服	Interpersonal
经常与人争论	Hostility
单独一人时神经很紧张	Phobic
别人对您的成绩没有作出恰当的评价	Paranoid
即使和别人在一起也感到孤单	Psychotic
感到坐立不安心神不定	Anxiety
感到自己没有什么价值	Depression
感到熟悉的东西变成陌生或不像是真的	Anxiety
大叫或摔东西	Hostility
害怕会在公共场合晕倒	Phobic
感到别人想占您的便宜	Paranoid
为一些有关“性”的想法而很苦恼	Psychotic
您认为应该因为自己的过错而受到惩罚	Psychotic
感到要赶快把事情做完	Anxiety
感到自己的身体有严重问题	Psychotic
从未感到和其他人很亲近	Psychotic
感到自己有罪	Additional
感到自己的脑子有毛病	Psychotic
